"Name", "Context","Quote"
"Raiden Shogun and Ei","Oh, so that's what this is all about...","Hmm? Haven't I already mentioned that I cannot make food? However, the advice you gave me will benefit you as well... With a more powerful Shogun, I will be able to protect you from a myriad of dangers even more effectively."
"Raiden Shogun and Ei","Anything you want to do?","Yes. Unsheathe your weapon."
"Raiden Shogun and Ei","Wait, you mean... now?","Hmph. Then I will come again once your preparation is complete. I have time. I will use my blade to confirm whether you are out of practice or not."
"Raiden Shogun and Ei","Wait, are you serious?","Naturally. The moment that blades are crossed in battle also becomes a kind of Eternity. I shall use this moment to feel your inner being. A simple and direct method, yet more clear than any language could convey. It even allows me to verify my own existence."
"Raiden Shogun and Ei","Something seems a bit off...","Huh? So you could see through my guise? Oh. I thought my impression was accurate enough. Never mind. I'll be honest with you then, I desire to spar with you. After all, few have ever proved capable of withstanding my blade. It would be a pleasure to train with you. However, I feared that you would be hesitant to strike me, so I used the identity of the Shogun."
"Raiden Shogun and Ei","There's no need to trick me into it...","Ah, you don't refuse. May I assume you accept then? Hehe, you should prepare yourself. I certainly won't go easy on you."
"Raiden Shogun and Ei","Good morning, Ei.","Good morning, (Traveler). Even such a trivial interaction fills me with motivation. Amazing..."
"Raiden Shogun and Ei","Good night, Ei.","Oh, has night fallen already? Then you'd best go have a rest. Good night, (Traveler). May your dreams be calm and peaceful."
"Raiden Shogun and Ei","A Thousand Swings","A dojo...? So, you pursue distinction in the martial arts? Clearly, the Musou no Hitotachi has sharpened your resolve. Those who strive for perfection are to be commended."
"Raiden Shogun and Ei","Ancient Branch Shrine","This shrine looks somewhat familiar. Is this what it means... to reminisce? So be it. The sensation is not a disagreeable one."
